path	change_type	classification	sha256	note
docs/validation/table1_cell_provenance.tsv	A	generated validation output	eef8527bbd7445b824f375fad2cefdf14c38f7212dcfb32559a5b7cd0737d6b0	Curated release-candidate file
docs/validation/table1_validation_results.tsv	A	generated validation output	7e00ef9d11070170f07cea6403e6cb75aa9a2fee05f6a731d1a6529e35bf07f1	Curated release-candidate file
docs/validation/validate_main_output_sources.py	A	generated validation output	b89338574f9ff1d7fb58ec215e978ef9661030393b7d825092ac9cf762e7e2dd	Curated release-candidate file
docs/workflow_manifest.md	A	documentation	ed15afc4ef0826f1c75bf1151a2de1c0e77cb0e4dfd7838d165ae702380de13b	Curated release-candidate file
v1.1.0_EXCLUSIONS.md	A	documentation	6144703ed78eb882b90547e7533836cc57daaae9c3e00fa1bb322e5b9465c78c	Curated release-candidate file
v1.1.0_RELEASE_NOTES.md	A	documentation	0291cb19d0bc4a0876877714e1937803922492ca354bd7a3c1ba11bf6cc0581e	Curated release-candidate file
v1.1.0_VALIDATION_REPORT.md	A	documentation	0aeab239009a13cec2d39a82ae3e186acc785da54f278dce3c862ae6d01ce813	Curated release-candidate file
workflows/06_concordance/table1/README.md	A	documentation	67dc3ca4a888586be01b93289846292a8315e64ed651cc346d0c78147d7b5553	Curated release-candidate file
workflows/06_concordance/table1/generate_table1.py	A	original recovered code	078e93b4f367004037be6bd7562dd66dcf8b13a63ea3b36e7869c676df4d4f13	Curated release-candidate file
workflows/06_concordance/table1/validate_table1.py	A	generated validation output	f70df821a499ac8fbd7dc1e9ea3a425a2dca2212c77e1db4b5c7b8a1b4327420	Curated release-candidate file
workflows/08_kinship/readv2/README.md	A	documentation	7aac0507d79a3f07da2c5c574edbf6210e1fa1015f06f5ed7534514deddfd037	Curated release-candidate file
workflows/08_kinship/readv2/bam_manifest.example.tsv	A	documentation	be7d61e48e41407eb76087fd926a621fd7341c226d4a3e74d896817b216bd5ad	Curated release-candidate file
workflows/08_kinship/readv2/environment.tsv	A	documentation	87207df4cc296a052b0463fd9df7e10b5456321dbc3015fb02e100dbb041f17c	Curated release-candidate file
workflows/08_kinship/readv2/run_autosome_and_transversion_sensitivities.sh	A	original recovered code	5d08e7d465e961c09acc5b14a28678f076caf66ef72124e1212e95d0a80c59ab	Curated release-candidate file
workflows/08_kinship/readv2/run_primary_from_processed_plink.sh	A	reconstructed from logs	0067ab1e32f1d86d660b97b626aeabca553e454d2d4cd033bc90008257d866b6	Curated release-candidate file
workflows/08_kinship/readv2/validate_reported_results.py	A	generated validation output	149ba46bc69a6ea17605f2504e89c33b57aac4b53f8aa3534027a8e7c139b165	Curated release-candidate file
workflows/08_kinship/tkgwv2/GPL-2.0-only.txt	A	documentation	8177f97513213526df2cf6184d8ff986c675afb514d4e68a404010521b880643	Curated release-candidate file
workflows/08_kinship/tkgwv2/README.md	A	documentation	836a851e6b5afd0d43443eb5347cf342cd2c49e576581999403da917c6cf9829	Curated release-candidate file
workflows/08_kinship/tkgwv2/THIRD_PARTY_NOTICE.md	A	documentation	48667c74d105a9267131ca598a9a39154c8542cb9498b60e47325087453e3c5a	Curated release-candidate file
workflows/08_kinship/tkgwv2/TKGWV2_compatibility.patch	A	original recovered code	c562fd0d98dfa13cd14262a98a0b7b85e44be0b3c3796017ff4c543259cee7b8	Curated release-candidate file
workflows/08_kinship/tkgwv2/dyads/fu_fu.tsv	A	processed source data	3aaf1495886423393ba566725820a27392f4aceb78a466009e334228a750f1e8	Curated release-candidate file
workflows/08_kinship/tkgwv2/dyads/nu_fu.tsv	A	processed source data	7184c19470d6fc6f93225d0e67836b95c84c206cc3b2cff97d8effe9214fdbaf	Curated release-candidate file
workflows/08_kinship/tkgwv2/dyads/nu_nu.tsv	A	processed source data	688f47471c26dd17d1fefc429135ba00508f024297fc54a8c97aaeef69943720	Curated release-candidate file
workflows/08_kinship/tkgwv2/environment.tsv	A	documentation	583e1f1386ab5c92c760b361267109de2d8f674a6cf55a309221f4e78fd79e39	Curated release-candidate file
workflows/08_kinship/tkgwv2/fetch_and_patch_tkgwv2.sh	A	reconstructed from logs	c5a75dec8f67517fdcd7802e16735b5712ff42d7fb5a399169d738728f5f17e9	Curated release-candidate file
workflows/08_kinship/tkgwv2/input_checksums.tsv	A	processed source data	8d66d9e465b5b220c810ff0a58c669b63f64c8d53d301ce765ffbd78110d6804	Curated release-candidate file
workflows/08_kinship/tkgwv2/parameters.tsv	A	processed source data	f1c0c063690dfe5cfa6d5f79ec71af20febe7d9a9e19fddeb87f2a70bc458b7e	Curated release-candidate file
workflows/08_kinship/tkgwv2/run_tkgwv2_from_processed_peds.sh	A	reconstructed from logs	897ae27fda476eb5e3c1ba97b1e9df3e0ccdf1bf307e5fb141447973f9dfecb8	Curated release-candidate file
workflows/08_kinship/tkgwv2/source_data/tkgwv2_pair_results.tsv	A	processed source data	5ce9e4b7fafba218349d66e78606fdc61880ee8e4848e1477e5d36c2564ba98f	Curated release-candidate file
workflows/08_kinship/tkgwv2/validation/reproduced_results.tsv	A	generated validation output	0bf001393d3c5f42ecb4fa60ba00956c38af83b9e68783bb8e0e78ac19e7b118	Curated release-candidate file
workflows/08_kinship/tkgwv2/validation/validate_results.py	A	generated validation output	340befe995df56b89aeb2b95460824546d36eab227d85e6c439d546d27db628b	Curated release-candidate file
workflows/08_kinship/tkgwv2/validation/validation_results.tsv	A	generated validation output	a4e75be024426d7d4fb3d683e41c9f52327e9de9fcaecbd96cfbc3cb0bb42116	Curated release-candidate file
workflows/08_kinship/tkgwv2/validation/verify_input_checksums.py	A	generated validation output	1f79739ca9b6f178be34e407e5f884c2e1a360222b15fda92d139587f0ff76a6	Curated release-candidate file
workflows/10_pca/recovery/README.md	A	documentation	e75caf05c5f3970edbfdbc96bf9e658feba62508456c47d7fd2ce223c47bdbf3	Curated release-candidate file
workflows/10_pca/recovery/environment.tsv	A	documentation	d1e0d391584c43874866d4412e96611a7851f2bb37b9b66639a8bdaa4c5c6de1	Curated release-candidate file
workflows/10_pca/recovery/keep_pops_ref.txt	A	processed source data	278ebfebc0cb68c2d480433e41e4bb7a2354906cffab592eef63afbb02e9841c	Curated release-candidate file
workflows/10_pca/recovery/prepare_imputed_queries.sh	A	reconstructed from logs	94979e93b8c8db0a133cf70d46fea8793652cce7f29732574393623a81c72e0f	Curated release-candidate file
workflows/10_pca/recovery/prepare_pseudohaploid_queries.sh	A	reconstructed from logs	d8e24e21c9e7ce57f6ded4e4a4e6de54fa0ad197120a4a50908e42a6d8840a7a	Curated release-candidate file
workflows/10_pca/recovery/query_input_manifest.example.tsv	A	documentation	ef67f94911384d2407d967b562486251c6eb5b08d54a7e2c85fac73661e384d8	Curated release-candidate file
workflows/10_pca/recovery/run_recovered_matched48_projection.sh	A	reconstructed from logs	3680e25a788057acfc4dd49dcc3f656fc38cfb7ffd6da07c592bad54ea65061d	Curated release-candidate file
workflows/10_pca/recovery/run_validation_and_figures.sh	A	generated validation output	6f00a3260fa042af0d8ecfe2bdd7ecd4ea70b11d4c489834be2c0a3c3ba74a51	Curated release-candidate file
workflows/10_pca/recovery/smartpca_matched48.par.template	A	processed source data	4725beed1be9383a16e42c9675bba7711ca756d24f1dbd0cb8ad7c56f63d4376	Curated release-candidate file
workflows/10_pca/recovery/validate_pca_recovery.py	A	generated validation output	7f1d313c89848a264f47ad4b97aa2313313652db35d13edff1443c1cb8009446	Curated release-candidate file
workflows/08_kinship/readv2_bam_manifest.example.tsv	D	documentation	-	Removed superseded v1.0.1 READv2 wrapper or example that overstated the recoverable raw-input boundary
workflows/08_kinship/readv2_primary_bam_manifest.example.tsv	D	documentation	-	Removed superseded v1.0.1 READv2 wrapper or example that overstated the recoverable raw-input boundary
workflows/08_kinship/run_readv2_cemetery.sh	D	documentation	-	Removed superseded v1.0.1 READv2 wrapper or example that overstated the recoverable raw-input boundary
workflows/08_kinship/run_readv2_primary_chrxy.sh	D	documentation	-	Removed superseded v1.0.1 READv2 wrapper or example that overstated the recoverable raw-input boundary
.gitattributes	M	documentation	46ccde7fdd67b52a2ae205f36e12cd81ec7f5b5f2d13486e206b42e792b25e9c	Curated release-candidate file
CITATION.cff	M	documentation	ec79c624573ef054dfe517cbb9e69539ffa4e8b7bb9dbeadf116952792aadf33	Curated release-candidate file
README.md	M	documentation	148612f0321a13207e5629e3e9ea69f9a6bf6a17f9d4f8d96cde258ff24d4eb5	Curated release-candidate file
check_repository.sh	M	generated validation output	17d39b4a5a301f891af3bbb3e7e690d7b8bb2ad4dc4ac4e88393de913d62611f	Curated release-candidate file
docs/DATA_ACCESS.md	M	documentation	142f44f57ce506725b06458726641a3539d3a0d98ea4e255285197c63a80b28e	Curated release-candidate file
docs/KNOWN_LIMITATIONS.md	M	documentation	12ce584a8bbcba6b61111e11e77cdd82e81f4775a79ef70176ded13a961898d3	Curated release-candidate file
docs/THIRD_PARTY_RESOURCES.md	M	documentation	d0fefaed80ceb4bdda20b942842a49faaec47487c11ac1e82efe1e2115756935	Curated release-candidate file
figures/README.md	M	documentation	95b3e11b4c104b05e086b86cfe849d52dbc9af06b8b8088d3d0d81948e3e4e65	Curated release-candidate file
reproduce_all.sh	M	generated validation output	562d3654b840c78f6f598dfb241ad3c192e49272cd05d2772b5cf55100e62b10	Curated release-candidate file
workflows/06_concordance/README.md	M	documentation	229429ce5ee85cd2d09e203d5eaf9c7c6c16e39e4cd54bc26a77143b4a859e3f	Curated release-candidate file
workflows/08_kinship/README.md	M	documentation	a5aeffdf4794a68917e1bfe27b1b6831e45cca92af09a74b81e07d17d3ea750c	Curated release-candidate file
workflows/10_pca/README.md	M	documentation	b33cb2bb6e5f941fe980ffdf0dcc0e95064e99fd07fdda56c17bfca0dc240e50	Curated release-candidate file
workflows/README.md	M	documentation	084a6d2eb1734595424fef02de833baa650f256c1cc731a39b96235ad6e96dc7	Curated release-candidate file
